"scenario_id","zone_id","year","total","sector_id","fuel_type_id"
26,1,2015,0.0004511873,2,7
26,1,2016,0.0004511873,2,7
26,1,2017,0.0004416402,2,7
26,1,2018,0.0004416402,2,7
26,1,2019,0.0004416402,2,7
26,1,2020,0.0004416402,2,7
26,1,2021,0.0004416402,2,7
26,1,2022,0.0004320931,2,7
26,1,2023,0.0004320931,2,7
26,1,2024,0.0004320931,2,7
26,1,2025,0.0004320931,2,7
26,1,2026,0.0004320931,2,7
26,1,2027,0.0004225459,2,7
26,1,2028,0.0004225459,2,7
26,1,2029,0.0004225459,2,7
26,1,2030,0.0004225459,2,7
26,1,2031,0.0004225459,2,7
26,1,2032,0.0004129988,2,7
26,1,2033,0.0004129988,2,7
26,1,2034,0.0004129988,2,7
26,1,2035,0.0004129988,2,7
26,1,2036,0.0004129988,2,7
26,1,2037,0.0004034517,2,7
26,1,2038,0.0004034517,2,7
26,1,2039,0.0004034517,2,7
26,1,2040,0.0004034517,2,7
26,1,2041,0.0004034517,2,7
26,1,2042,0.0003939045,2,7
26,1,2043,0.0003939045,2,7
26,1,2044,0.0003939045,2,7
26,1,2045,0.0003939045,2,7
26,1,2046,0.0003939045,2,7
26,1,2047,0.0003843574,2,7
26,1,2048,0.0003843574,2,7
26,1,2049,0.0003843574,2,7
26,1,2050,0.0003843574,2,7
26,1,2011,0,2,9
26,1,2012,0,2,9
26,1,2013,0,2,9
26,1,2014,0,2,9
26,1,2015,0,2,9
26,1,2016,0,2,9
26,1,2017,0,2,9
26,1,2018,0,2,9
26,1,2019,0,2,9
26,1,2020,0,2,9
26,1,2021,0,2,9
26,1,2022,0,2,9
26,1,2023,0,2,9
26,1,2024,0,2,9
26,1,2025,0,2,9
26,1,2026,0,2,9
26,1,2027,0,2,9
26,1,2028,0,2,9
26,1,2029,0,2,9
26,1,2030,0,2,9
26,1,2031,0,2,9
26,1,2032,0,2,9
26,1,2033,0,2,9
26,1,2034,0,2,9
26,1,2035,0,2,9
26,1,2036,0,2,9
26,1,2037,0,2,9
26,1,2038,0,2,9
26,1,2039,0,2,9
26,1,2040,0,2,9
26,1,2041,0,2,9
26,1,2042,0,2,9
26,1,2043,0,2,9
26,1,2044,0,2,9
26,1,2045,0,2,9
26,1,2046,0,2,9
26,1,2047,0,2,9
26,1,2048,0,2,9
26,1,2049,0,2,9
26,1,2050,0,2,9
26,1,2011,0,2,5
26,1,2012,0,2,5
26,1,2013,0,2,5
26,1,2014,0,2,5
26,1,2015,0,2,5
26,1,2016,0,2,5
26,1,2017,0,2,5
26,1,2018,0,2,5
26,1,2019,0,2,5
26,1,2020,0,2,5
26,1,2021,0,2,5
26,1,2022,0,2,5
26,1,2023,0,2,5
26,1,2024,0,2,5
26,1,2025,0,2,5
26,1,2026,0,2,5
26,1,2027,0,2,5
26,1,2028,0,2,5
26,1,2029,0,2,5
26,1,2030,0,2,5
26,1,2031,0,2,5
26,1,2032,0,2,5
26,1,2033,0,2,5
26,1,2034,0,2,5
26,1,2035,0,2,5
26,1,2036,0,2,5
26,1,2037,0,2,5
26,1,2038,0,2,5
26,1,2039,0,2,5
26,1,2040,0,2,5
26,1,2041,0,2,5
26,1,2042,0,2,5
26,1,2043,0,2,5
26,1,2044,0,2,5
26,1,2045,0,2,5
26,1,2046,0,2,5
26,1,2047,0,2,5
26,1,2048,0,2,5
26,1,2049,0,2,5
26,1,2050,0,2,5
26,1,2011,0,3,1
26,1,2012,0,3,1
26,1,2013,0,3,1
26,1,2014,0,3,1
26,1,2015,0,3,1
26,1,2016,0,3,1
26,1,2017,0,3,1
26,1,2018,0,3,1
26,1,2019,0,3,1
26,1,2020,0,3,1
26,1,2021,0,3,1
26,1,2022,0,3,1
26,1,2023,0,3,1
26,1,2024,0,3,1
26,1,2025,0,3,1
26,1,2026,0,3,1
26,1,2027,0,3,1
26,1,2028,0,3,1
26,1,2029,0,3,1
26,1,2030,0,3,1
26,1,2031,0,3,1
26,1,2032,0,3,1
26,1,2033,0,3,1
26,1,2034,0,3,1
26,1,2035,0,3,1
26,1,2036,0,3,1
26,1,2037,0,3,1
26,1,2038,0,3,1
26,1,2039,0,3,1
26,1,2040,0,3,1
26,1,2041,0,3,1
26,1,2042,0,3,1
26,1,2043,0,3,1
26,1,2044,0,3,1
26,1,2045,0,3,1
26,1,2046,0,3,1
26,1,2047,0,3,1
26,1,2048,0,3,1
26,1,2049,0,3,1
26,1,2050,0,3,1
26,1,2011,0,3,2
26,1,2012,0,3,2
26,1,2013,0,3,2
26,1,2014,0,3,2
26,1,2015,0,3,2
26,1,2016,0,3,2
26,1,2017,0,3,2
26,1,2018,0,3,2
26,1,2019,0,3,2
26,1,2020,0,3,2
26,1,2021,0,3,2
26,1,2022,0,3,2
26,1,2023,0,3,2
26,1,2024,0,3,2
26,1,2025,0,3,2
26,1,2026,0,3,2
26,1,2027,0,3,2
26,1,2028,0,3,2
26,1,2029,0,3,2
26,1,2030,0,3,2
26,1,2031,0,3,2
26,1,2032,0,3,2
26,1,2033,0,3,2
26,1,2034,0,3,2
26,1,2035,0,3,2
26,1,2036,0,3,2
26,1,2037,0,3,2
26,1,2038,0,3,2
26,1,2039,0,3,2
26,1,2040,0,3,2
26,1,2041,0,3,2
26,1,2042,0,3,2
26,1,2043,0,3,2
26,1,2044,0,3,2
26,1,2045,0,3,2
26,1,2046,0,3,2
26,1,2047,0,3,2
26,1,2048,0,3,2
26,1,2049,0,3,2
26,1,2050,0,3,2
26,1,2011,0,3,7
26,1,2012,0,3,7
26,1,2013,0,3,7
26,1,2014,0,3,7
26,1,2015,0,3,7
26,1,2016,0,3,7
26,1,2017,0,3,7
26,1,2018,0,3,7
26,1,2019,0,3,7
26,1,2020,0,3,7
26,1,2021,0,3,7
26,1,2022,0,3,7
26,1,2023,0,3,7
26,1,2024,0,3,7
26,1,2025,0,3,7
26,1,2026,0,3,7
26,1,2027,0,3,7
26,1,2028,0,3,7
26,1,2029,0,3,7
26,1,2030,0,3,7
26,1,2031,0,3,7
26,1,2032,0,3,7
26,1,2033,0,3,7
26,1,2034,0,3,7
26,1,2035,0,3,7
26,1,2036,0,3,7
26,1,2037,0,3,7
26,1,2038,0,3,7
26,1,2039,0,3,7
26,1,2040,0,3,7
26,1,2041,0,3,7
26,1,2042,0,3,7
26,1,2043,0,3,7
26,1,2044,0,3,7
26,1,2045,0,3,7
26,1,2046,0,3,7
26,1,2047,0,3,7
26,1,2048,0,3,7
26,1,2049,0,3,7
26,1,2050,0,3,7
26,1,2011,0,3,9
26,1,2012,0,3,9
26,1,2013,0,3,9
26,1,2014,0,3,9
26,1,2015,0,3,9
26,1,2016,0,3,9
26,1,2017,0,3,9
26,1,2018,0,3,9
26,1,2019,0,3,9
26,1,2020,0,3,9
26,1,2021,0,3,9
26,1,2022,0,3,9
26,1,2023,0,3,9
26,1,2024,0,3,9
26,1,2025,0,3,9
26,1,2026,0,3,9
26,1,2027,0,3,9
26,1,2028,0,3,9
26,1,2029,0,3,9
26,1,2030,0,3,9
26,1,2031,0,3,9
26,1,2032,0,3,9
26,1,2033,0,3,9
26,1,2034,0,3,9
26,1,2035,0,3,9
26,1,2036,0,3,9
26,1,2037,0,3,9
26,1,2038,0,3,9
26,1,2039,0,3,9
26,1,2040,0,3,9
26,1,2041,0,3,9
26,1,2042,0,3,9
26,1,2043,0,3,9
26,1,2044,0,3,9
26,1,2045,0,3,9
26,1,2046,0,3,9
26,1,2047,0,3,9
26,1,2048,0,3,9
26,1,2049,0,3,9
26,1,2050,0,3,9
26,1,2011,0,3,5
26,1,2012,0.2543083,3,5
26,1,2013,0.2543083,3,5
26,1,2014,0.2543083,3,5
26,1,2015,0.2543083,3,5
26,1,2016,0.2543083,3,5
26,1,2017,0.2543083,3,5
26,1,2018,0.2543083,3,5
26,1,2019,0.2543083,3,5
26,1,2020,0.2543083,3,5
26,1,2021,0.2543083,3,5
26,1,2022,0.2543083,3,5
26,1,2023,0.2543083,3,5
26,1,2024,0.2543083,3,5
26,1,2025,0.2543083,3,5
26,1,2026,0.2543083,3,5
26,1,2027,0.2543083,3,5
26,1,2028,0.2543083,3,5
26,1,2029,0.2543083,3,5
26,1,2030,0.2543083,3,5
26,1,2031,0.2543083,3,5
26,1,2032,0.2543083,3,5
26,1,2033,0.2543083,3,5
26,1,2034,0.2543083,3,5
26,1,2035,0.2543083,3,5
26,1,2036,0.2543083,3,5
26,1,2037,0.2543083,3,5
26,1,2038,0.2543083,3,5
26,1,2039,0.2543083,3,5
26,1,2040,0.2543083,3,5
26,1,2041,0.2543083,3,5
26,1,2042,0.2543083,3,5
26,1,2043,0.2543083,3,5
26,1,2044,0.2543083,3,5
26,1,2045,0.2543083,3,5
26,1,2046,0.2543083,3,5
26,1,2047,0.2543083,3,5
26,1,2048,0.2543083,3,5
26,1,2049,0.2543083,3,5
26,1,2050,0.2543083,3,5
26,2,2011,0.0001854617,1,1
26,2,2012,0.000201696,1,1
26,2,2013,0.0002282318,1,1
26,2,2014,0.0002548112,1,1
26,2,2015,0.0002813336,1,1
26,2,2016,0.0003077602,1,1
26,2,2017,0.0003282047,1,1
26,2,2018,0.0003459536,1,1
26,2,2019,0.0003618139,1,1
26,2,2020,0.0003743488,1,1
26,2,2021,0.0003850901,1,1
26,2,2022,0.0003947012,1,1
26,2,2023,0.0004008676,1,1
26,2,2024,0.0004021992,1,1
26,2,2025,0.0003993652,1,1
26,2,2026,0.0003941537,1,1
26,2,2027,0.0003880237,1,1
26,2,2028,0.000381653,1,1
26,2,2029,0.0003752397,1,1
26,2,2030,0.0003688214,1,1
26,2,2031,0.0003624027,1,1
26,2,2032,0.000355984,1,1
26,2,2033,0.0003495653,1,1
26,2,2034,0.0003431466,1,1
