"scenario_id","source_type","target_type","year","total","source_id","target_id"
42,"FuelType","Sector",2012,1.767478,8,1
42,"FuelType","Sector",2013,1.736347,8,1
42,"FuelType","Sector",2014,1.704073,8,1
42,"FuelType","Sector",2015,1.671677,8,1
42,"FuelType","Sector",2016,1.657875,8,1
42,"FuelType","Sector",2017,1.643607,8,1
42,"FuelType","Sector",2018,1.631583,8,1
42,"FuelType","Sector",2019,1.621827,8,1
42,"FuelType","Sector",2020,1.622224,8,1
42,"FuelType","Sector",2021,1.63888,8,1
42,"FuelType","Sector",2022,1.656073,8,1
42,"FuelType","Sector",2023,1.675978,8,1
42,"FuelType","Sector",2024,1.700032,8,1
42,"FuelType","Sector",2025,1.727806,8,1
42,"FuelType","Sector",2026,1.757358,8,1
42,"FuelType","Sector",2027,1.787828,8,1
42,"FuelType","Sector",2028,1.818328,8,1
42,"FuelType","Sector",2029,1.84861,8,1
42,"FuelType","Sector",2030,1.878681,8,1
42,"FuelType","Sector",2031,1.90864,8,1
42,"FuelType","Sector",2032,1.938559,8,1
42,"FuelType","Sector",2033,1.968469,8,1
42,"FuelType","Sector",2034,1.998377,8,1
42,"FuelType","Sector",2035,2.028285,8,1
42,"FuelType","Sector",2036,2.058194,8,1
42,"FuelType","Sector",2037,2.088103,8,1
42,"FuelType","Sector",2038,2.118014,8,1
42,"FuelType","Sector",2039,2.147924,8,1
42,"FuelType","Sector",2040,2.177835,8,1
42,"FuelType","Sector",2041,2.207745,8,1
42,"FuelType","Sector",2042,2.237668,8,1
42,"FuelType","Sector",2043,2.267592,8,1
42,"FuelType","Sector",2044,2.297517,8,1
42,"FuelType","Sector",2045,2.327442,8,1
42,"FuelType","Sector",2046,2.361396,8,1
42,"FuelType","Sector",2047,2.395316,8,1
42,"FuelType","Sector",2048,2.429237,8,1
42,"FuelType","Sector",2049,2.463158,8,1
42,"FuelType","Sector",2050,2.497079,8,1
42,"FuelType","Sector",2011,3.08916,8,2
42,"FuelType","Sector",2012,3.14599,8,2
42,"FuelType","Sector",2013,3.14599,8,2
42,"FuelType","Sector",2014,3.14599,8,2
42,"FuelType","Sector",2015,3.14599,8,2
42,"FuelType","Sector",2016,3.14599,8,2
42,"FuelType","Sector",2017,3.248338,8,2
42,"FuelType","Sector",2018,3.248338,8,2
42,"FuelType","Sector",2019,3.248338,8,2
42,"FuelType","Sector",2020,3.248338,8,2
42,"FuelType","Sector",2021,3.248338,8,2
42,"FuelType","Sector",2022,3.372545,8,2
42,"FuelType","Sector",2023,3.372545,8,2
42,"FuelType","Sector",2024,3.372545,8,2
42,"FuelType","Sector",2025,3.372545,8,2
42,"FuelType","Sector",2026,3.372545,8,2
42,"FuelType","Sector",2027,3.496752,8,2
42,"FuelType","Sector",2028,3.496752,8,2
42,"FuelType","Sector",2029,3.496752,8,2
42,"FuelType","Sector",2030,3.496752,8,2
42,"FuelType","Sector",2031,3.496752,8,2
42,"FuelType","Sector",2032,3.620959,8,2
42,"FuelType","Sector",2033,3.620959,8,2
42,"FuelType","Sector",2034,3.620959,8,2
42,"FuelType","Sector",2035,3.620959,8,2
42,"FuelType","Sector",2036,3.620959,8,2
42,"FuelType","Sector",2037,3.745165,8,2
42,"FuelType","Sector",2038,3.745165,8,2
42,"FuelType","Sector",2039,3.745165,8,2
42,"FuelType","Sector",2040,3.745165,8,2
42,"FuelType","Sector",2041,3.745165,8,2
42,"FuelType","Sector",2042,3.869372,8,2
