"scenario_id","year","total","sector_id","fuel_type_id"
44,2015,2.899728,3,2
44,2016,2.899728,3,2
44,2017,2.940367,3,2
44,2018,2.940367,3,2
44,2019,2.940367,3,2
44,2020,2.940367,3,2
44,2021,2.940367,3,2
44,2022,3.127009,3,2
44,2023,3.127009,3,2
44,2024,3.127009,3,2
44,2025,3.127009,3,2
44,2026,3.127009,3,2
44,2027,3.313639,3,2
44,2028,3.313639,3,2
44,2029,3.313639,3,2
44,2030,3.313639,3,2
44,2031,3.313639,3,2
44,2032,3.500258,3,2
44,2033,3.500258,3,2
44,2034,3.500258,3,2
44,2035,3.500258,3,2
44,2036,3.500258,3,2
44,2037,3.686864,3,2
44,2038,3.686864,3,2
44,2039,3.686864,3,2
44,2040,3.686864,3,2
44,2041,3.686864,3,2
44,2042,3.686843,3,2
44,2043,3.686843,3,2
44,2044,3.686843,3,2
44,2045,3.686843,3,2
44,2046,3.686843,3,2
44,2047,3.686822,3,2
44,2048,3.686822,3,2
44,2049,3.686822,3,2
44,2050,3.686822,3,2
44,2011,0.1372888,3,8
44,2012,0.1329938,3,8
44,2013,0.1329938,3,8
44,2014,0.1329938,3,8
44,2015,0.1329938,3,8
44,2016,0.1329938,3,8
44,2017,0.1348535,3,8
44,2018,0.1348535,3,8
44,2019,0.1348535,3,8
44,2020,0.1348535,3,8
44,2021,0.1348535,3,8
44,2022,0.1434666,3,8
44,2023,0.1434666,3,8
44,2024,0.1434666,3,8
44,2025,0.1434666,3,8
44,2026,0.1434666,3,8
44,2027,0.1520779,3,8
44,2028,0.1520779,3,8
44,2029,0.1520779,3,8
44,2030,0.1520779,3,8
44,2031,0.1520779,3,8
44,2032,0.1606877,3,8
44,2033,0.1606877,3,8
44,2034,0.1606877,3,8
44,2035,0.1606877,3,8
44,2036,0.1606877,3,8
44,2037,0.169296,3,8
44,2038,0.169296,3,8
44,2039,0.169296,3,8
44,2040,0.169296,3,8
44,2041,0.169296,3,8
44,2042,0.1692932,3,8
44,2043,0.1692932,3,8
44,2044,0.1692932,3,8
44,2045,0.1692932,3,8
44,2046,0.1692932,3,8
44,2047,0.1692904,3,8
44,2048,0.1692904,3,8
44,2049,0.1692904,3,8
44,2050,0.1692904,3,8
44,2011,0.6986845,3,9
44,2012,0.7124971,3,9
44,2013,0.7124971,3,9
44,2014,0.7124971,3,9
44,2015,0.7124971,3,9
44,2016,0.7124971,3,9
44,2017,0.7224984,3,9
44,2018,0.7224984,3,9
44,2019,0.7224984,3,9
44,2020,0.7224984,3,9
44,2021,0.7224984,3,9
44,2022,0.7682171,3,9
44,2023,0.7682171,3,9
44,2024,0.7682171,3,9
44,2025,0.7682171,3,9
44,2026,0.7682171,3,9
44,2027,0.8139359,3,9
44,2028,0.8139359,3,9
44,2029,0.8139359,3,9
44,2030,0.8139359,3,9
44,2031,0.8139359,3,9
44,2032,0.8596546,3,9
44,2033,0.8596546,3,9
44,2034,0.8596546,3,9
44,2035,0.8596546,3,9
44,2036,0.8596546,3,9
44,2037,0.9053734,3,9
44,2038,0.9053734,3,9
44,2039,0.9053734,3,9
44,2040,0.9053734,3,9
44,2041,0.9053734,3,9
44,2042,0.9053734,3,9
44,2043,0.9053734,3,9
44,2044,0.9053734,3,9
44,2045,0.9053734,3,9
44,2046,0.9053734,3,9
44,2047,0.9053734,3,9
44,2048,0.9053734,3,9
44,2049,0.9053734,3,9
44,2050,0.9053734,3,9
44,2011,0,3,5
44,2012,0.3200425,3,5
44,2013,0.3200425,3,5
44,2014,0.3200425,3,5
44,2015,0.3200425,3,5
44,2016,0.3200425,3,5
44,2017,0.3201404,3,5
44,2018,0.3201404,3,5
44,2019,0.3201404,3,5
44,2020,0.3201404,3,5
44,2021,0.3201404,3,5
44,2022,0.3205937,3,5
44,2023,0.3205937,3,5
44,2024,0.3205937,3,5
44,2025,0.3205937,3,5
44,2026,0.3205937,3,5
44,2027,0.321047,3,5
44,2028,0.321047,3,5
44,2029,0.321047,3,5
44,2030,0.321047,3,5
44,2031,0.321047,3,5
44,2032,0.3215001,3,5
44,2033,0.3215001,3,5
44,2034,0.3215001,3,5
44,2035,0.3215001,3,5
44,2036,0.3215001,3,5
44,2037,0.3219532,3,5
44,2038,0.3219532,3,5
44,2039,0.3219532,3,5
44,2040,0.3219532,3,5
44,2041,0.3219532,3,5
44,2042,0.321953,3,5
44,2043,0.321953,3,5
44,2044,0.321953,3,5
44,2045,0.321953,3,5
44,2046,0.321953,3,5
44,2047,0.3219529,3,5
44,2048,0.3219529,3,5
44,2049,0.3219529,3,5
44,2050,0.3219529,3,5
44,2011,0,4,1
44,2012,0,4,1
44,2013,0,4,1
44,2014,0,4,1
44,2015,0,4,1
44,2016,0,4,1
44,2017,0,4,1
44,2018,0,4,1
44,2019,0,4,1
44,2020,0,4,1
44,2021,0,4,1
44,2022,0,4,1
44,2023,0,4,1
44,2024,0,4,1
44,2025,0,4,1
44,2026,0,4,1
44,2027,0,4,1
44,2028,0,4,1
44,2029,0,4,1
44,2030,0,4,1
44,2031,0,4,1
44,2032,0,4,1
44,2033,0,4,1
44,2034,0,4,1
44,2035,0,4,1
44,2036,0,4,1
44,2037,0,4,1
44,2038,0,4,1
44,2039,0,4,1
44,2040,0,4,1
44,2041,0,4,1
44,2042,0,4,1
44,2043,0,4,1
44,2044,0,4,1
44,2045,0,4,1
44,2046,0,4,1
44,2047,0,4,1
44,2048,0,4,1
44,2049,0,4,1
44,2050,0,4,1
44,2011,18.14675,4,2
44,2012,9.502396,4,2
44,2013,11.56046,4,2
44,2014,13.56019,4,2
44,2015,15.45932,4,2
44,2016,17.25891,4,2
44,2017,17.05845,4,2
44,2018,16.91746,4,2
44,2019,16.7174,4,2
44,2020,16.51987,4,2
44,2021,16.33933,4,2
44,2022,16.2183,4,2
44,2023,16.13876,4,2
44,2024,16.0444,4,2
44,2025,16.01953,4,2
44,2026,16.0778,4,2
44,2027,16.14071,4,2
44,2028,16.22286,4,2
44,2029,16.32884,4,2
44,2030,16.45085,4,2
44,2031,16.58018,4,2
44,2032,16.72436,4,2
44,2033,16.87018,4,2
44,2034,17.01788,4,2
44,2035,17.16529,4,2
44,2036,17.31355,4,2
44,2037,17.51179,4,2
44,2038,17.71008,4,2
44,2039,17.9124,4,2
44,2040,18.11885,4,2
44,2041,18.33153,4,2
44,2042,18.50881,4,2
44,2043,18.69279,4,2
44,2044,18.8824,4,2
44,2045,19.07413,4,2
44,2046,19.26981,4,2
44,2047,19.47006,4,2
44,2048,19.67114,4,2
44,2049,19.87429,4,2
44,2050,20.07933,4,2
44,2011,0,4,8
44,2012,0.004506239,4,8
44,2013,0.01189244,4,8
44,2014,0.02269673,4,8
44,2015,0.03731453,4,8
44,2016,0.05519184,4,8
44,2017,0.0685625,4,8
44,2018,0.08137703,4,8
44,2019,0.09471235,4,8
44,2020,0.1086429,4,8
44,2021,0.1222815,4,8
44,2022,0.1345978,4,8
44,2023,0.1461143,4,8
44,2024,0.1572561,4,8
44,2025,0.1672287,4,8
44,2026,0.174213,4,8
44,2027,0.1802513,4,8
44,2028,0.1853493,4,8
44,2029,0.1896104,4,8
44,2030,0.1931857,4,8
44,2031,0.1962596,4,8
44,2032,0.199157,4,8
44,2033,0.2018363,4,8
44,2034,0.2043567,4,8
44,2035,0.2067046,4,8
44,2036,0.208887,4,8
44,2037,0.2115645,4,8
44,2038,0.2140607,4,8
44,2039,0.2164162,4,8
44,2040,0.2186233,4,8
44,2041,0.2207021,4,8
44,2042,0.2220904,4,8
44,2043,0.2233346,4,8
44,2044,0.2244214,4,8
44,2045,0.2253209,4,8
44,2046,0.2260252,4,8
44,2047,0.2265661,4,8
44,2048,0.2268783,4,8
44,2049,0.2269676,4,8
44,2050,0.2268243,4,8
44,2011,0,4,9
44,2012,0,4,9
44,2013,0,4,9
44,2014,0,4,9
44,2015,0,4,9
44,2016,0.02826542,4,9
44,2017,0.05646458,4,9
44,2018,0.08341011,4,9
44,2019,0.1103383,4,9
44,2020,0.1360637,4,9
44,2021,0,4,9
44,2022,0,4,9
44,2023,0,4,9
44,2024,0,4,9
44,2025,0,4,9
44,2026,0,4,9
44,2027,0,4,9
44,2028,0,4,9
44,2029,0,4,9
44,2030,0,4,9
44,2031,0,4,9
44,2032,0,4,9
44,2033,0,4,9
44,2034,0,4,9
44,2035,0,4,9
44,2036,0,4,9
44,2037,0,4,9
44,2038,0,4,9
44,2039,0,4,9
44,2040,0,4,9
44,2041,0,4,9
44,2042,0,4,9
44,2043,0,4,9
44,2044,0,4,9
44,2045,0,4,9
44,2046,0,4,9
44,2047,0,4,9
44,2048,0,4,9
44,2049,0,4,9
44,2050,0,4,9
44,2011,0,4,5
44,2012,0.0002371705,4,5
44,2013,0.0006259181,4,5
44,2014,0.001194565,4,5
44,2015,0.001963923,4,5
44,2016,0.002904834,4,5
44,2017,0.003608554,4,5
44,2018,0.004283003,4,5
44,2019,0.004984862,4,5
44,2020,0.00571805,4,5
44,2021,0.006435871,4,5
44,2022,0.007084099,4,5
44,2023,0.00769023,4,5
44,2024,0.008276639,4,5
44,2025,0.008801512,4,5
44,2026,0.009169109,4,5
44,2027,0.00948691,4,5
44,2028,0.009755225,4,5
44,2029,0.009979498,4,5
44,2030,0.01016767,4,5
44,2031,0.01032945,4,5
44,2032,0.01048195,4,5
44,2033,0.01062297,4,5
44,2034,0.01075562,4,5
44,2035,0.01087919,4,5
44,2036,0.01099405,4,5
44,2037,0.01113498,4,5
44,2038,0.01126635,4,5
44,2039,0.01139033,4,5
44,2040,0.01150649,4,5
44,2041,0.01161591,4,5
44,2042,0.01168897,4,5
44,2043,0.01175445,4,5
44,2044,0.01181166,4,5
44,2045,0.011859,4,5
44,2046,0.01189606,4,5
44,2047,0.01192454,4,5
44,2048,0.01194097,4,5
44,2049,0.01194567,4,5
44,2050,0.01193812,4,5
