"population_context_id","zone_id","year","total"
1,22,2044,15926.55
1,22,2045,16011.48
1,22,2046,16094.42
1,22,2047,16175.34
1,22,2048,16254.24
1,22,2049,16331.2
1,22,2050,16406.21
1,23,2011,10444.35
1,23,2012,10553.31
1,23,2013,10625.18
1,23,2014,10731.35
1,23,2015,10838.28
1,23,2016,10947.32
1,23,2017,11056.36
1,23,2018,11162.88
1,23,2019,11268
1,23,2020,11372.11
1,23,2021,11475.25
1,23,2022,11577.08
1,23,2023,11677.88
1,23,2024,11777.63
1,23,2025,11875.47
1,23,2026,11971.87
1,23,2027,12066.34
1,23,2028,12159.02
1,23,2029,12249.84
1,23,2030,12338.8
1,23,2031,12425.89
1,23,2032,12511.11
1,23,2033,12594.46
1,23,2034,12676.44
1,23,2035,12756.82
1,23,2036,12844.78
1,23,2037,12930.95
1,23,2038,13015.17
1,23,2039,13097.64
1,23,2040,13178.2
1,23,2041,13256.87
1,23,2042,13333.79
1,23,2043,13409.01
1,23,2044,13482.58
1,23,2045,13554.48
1,23,2046,13624.69
1,23,2047,13693.19
1,23,2048,13759.99
1,23,2049,13825.14
1,23,2050,13888.64
1,24,2011,12935.61
1,24,2012,13070.56
1,24,2013,13159.58
1,24,2014,13291.07
1,24,2015,13423.51
1,24,2016,13558.55
1,24,2017,13693.6
1,24,2018,13825.54
1,24,2019,13955.72
1,24,2020,14084.67
1,24,2021,14212.41
1,24,2022,14338.53
1,24,2023,14463.37
1,24,2024,14586.92
1,24,2025,14708.09
1,24,2026,14827.49
1,24,2027,14944.49
1,24,2028,15059.27
1,24,2029,15171.76
1,24,2030,15281.94
1,24,2031,15389.8
1,24,2032,15495.34
1,24,2033,15598.58
1,24,2034,15700.11
1,24,2035,15799.67
1,24,2036,15908.61
1,24,2037,16015.33
1,24,2038,16119.65
1,24,2039,16221.79
1,24,2040,16321.56
1,24,2041,16419
1,24,2042,16514.26
1,24,2043,16607.43
1,24,2044,16698.54
1,24,2045,16787.59
1,24,2046,16874.55
1,24,2047,16959.39
1,24,2048,17042.12
1,24,2049,17122.81
1,24,2050,17201.46
1,25,2011,9237.885
1,25,2012,9334.261
1,25,2013,9397.829
1,25,2014,9491.734
1,25,2015,9586.313
1,25,2016,9682.755
1,25,2017,9779.199
1,25,2018,9873.421
1,25,2019,9966.392
1,25,2020,10058.48
1,25,2021,10149.7
1,25,2022,10239.77
1,25,2023,10328.92
1,25,2024,10417.16
1,25,2025,10503.69
1,25,2026,10588.96
1,25,2027,10672.52
1,25,2028,10754.49
1,25,2029,10834.82
1,25,2030,10913.5
1,25,2031,10990.53
1,25,2032,11065.9
1,25,2033,11139.63
1,25,2034,11212.14
1,25,2035,11283.24
1,25,2036,11361.03
1,25,2037,11437.25
1,25,2038,11511.74
1,25,2039,11584.69
1,25,2040,11655.94
1,25,2041,11725.53
1,25,2042,11793.56
1,25,2043,11860.09
1,25,2044,11925.16
1,25,2045,11988.75
1,25,2046,12050.85
1,25,2047,12111.44
1,25,2048,12170.52
1,25,2049,12228.15
1,25,2050,12284.31
1,26,2011,5128.782
1,26,2012,5182.289
1,26,2013,5217.582
1,26,2014,5269.717
1,26,2015,5322.227
1,26,2016,5375.77
1,26,2017,5429.315
1,26,2018,5481.626
1,26,2019,5533.242
1,26,2020,5584.368
1,26,2021,5635.015
1,26,2022,5685.02
1,26,2023,5734.517
1,26,2024,5783.503
1,26,2025,5831.547
1,26,2026,5878.887
1,26,2027,5925.275
1,26,2028,5970.785
1,26,2029,6015.384
1,26,2030,6059.068
1,26,2031,6101.833
1,26,2032,6143.681
1,26,2033,6184.612
1,26,2034,6224.869
1,26,2035,6264.342
1,26,2036,6307.533
1,26,2037,6349.847
1,26,2038,6391.207
1,26,2039,6431.706
1,26,2040,6471.264
1,26,2041,6509.896
1,26,2042,6547.667
1,26,2043,6584.606
1,26,2044,6620.732
1,26,2045,6656.038
1,26,2046,6690.515
1,26,2047,6724.153
1,26,2048,6756.954
1,26,2049,6788.947
1,26,2050,6820.129
1,27,2011,8320.199
1,27,2012,8407.001
1,27,2013,8464.255
1,27,2014,8548.832
1,27,2015,8634.016
1,27,2016,8720.877
1,27,2017,8807.74
1,27,2018,8892.602
1,27,2019,8976.337
1,27,2020,9059.275
1,27,2021,9141.438
1,27,2022,9222.559
1,27,2023,9302.855
1,27,2024,9382.324
1,27,2025,9460.264
1,27,2026,9537.062
1,27,2027,9612.315
1,27,2028,9686.143
1,27,2029,9758.494
1,27,2030,9829.362
1,27,2031,9898.738
1,27,2032,9966.625
1,27,2033,10033.03
1,27,2034,10098.33
1,27,2035,10162.37
1,27,2036,10232.43
1,27,2037,10301.08
1,27,2038,10368.18
1,27,2039,10433.88
1,27,2040,10498.05
1,27,2041,10560.72
1,27,2042,10622
1,27,2043,10681.92
1,27,2044,10740.52
1,27,2045,10797.8
1,27,2046,10853.73
1,27,2047,10908.3
1,27,2048,10961.51
1,27,2049,11013.41
1,27,2050,11064
1,28,2011,25670.27
1,28,2012,25938.08
1,28,2013,26114.73
1,28,2014,26375.67
1,28,2015,26638.49
1,28,2016,26906.48
1,28,2017,27174.48
1,28,2018,27436.3
1,28,2019,27694.65
1,28,2020,27950.54
1,28,2021,28204.04
1,28,2022,28454.32
1,28,2023,28702.06
1,28,2024,28947.24
1,28,2025,29187.71
1,28,2026,29424.65
1,28,2027,29656.83
1,28,2028,29884.61
1,28,2029,30107.84
1,28,2030,30326.48
1,28,2031,30540.53
1,28,2032,30749.98
1,28,2033,30954.85
1,28,2034,31156.34
1,28,2035,31353.91
1,28,2036,31570.08
1,28,2037,31781.87
1,28,2038,31988.88
1,28,2039,32191.59
1,28,2040,32389.58
1,28,2041,32582.94
1,28,2042,32771.99
1,28,2043,32956.88
1,28,2044,33137.69
1,28,2045,33314.4
1,28,2046,33486.96
1,28,2047,33655.32
1,28,2048,33819.5
1,28,2049,33979.63
1,28,2050,34135.7
1,29,2011,13362.47
1,29,2012,13501.88
1,29,2013,13593.83
1,29,2014,13729.66
1,29,2015,13866.47
1,29,2016,14005.97
1,29,2017,14145.48
1,29,2018,14281.77
1,29,2019,14416.25
1,29,2020,14549.45
1,29,2021,14681.41
1,29,2022,14811.69
1,29,2023,14940.65
1,29,2024,15068.28
1,29,2025,15193.45
1,29,2026,15316.79
1,29,2027,15437.65
1,29,2028,15556.22
1,29,2029,15672.42
1,29,2030,15786.23
1,29,2031,15897.65
1,29,2032,16006.68
1,29,2033,16113.32
1,29,2034,16218.21
1,29,2035,16321.05
1,29,2036,16433.58
1,29,2037,16543.82
1,29,2038,16651.58
1,29,2039,16757.1
1,29,2040,16860.16
1,29,2041,16960.81
1,29,2042,17059.22
1,29,2043,17155.46
1,29,2044,17249.58
1,29,2045,17341.57
1,29,2046,17431.39
1,29,2047,17519.04
1,29,2048,17604.49
1,29,2049,17687.85
1,29,2050,17769.09
1,30,2011,1105.124
1,30,2012,1116.653
1,30,2013,1124.258
